source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:BP,GO:0141061,disruption of cell in another organism,0.0017648229344564383,True,"""The disruption of a cell of another organism, leading to damage or temporary subversion of that cell."" [GOC:pg]",40,389,6,22737,0.015424164524421594,0.15,query_1,['GO:0141060']
GO:BP,GO:0001906,cell killing,0.0017648229344564383,True,"""Any process in an organism that results in the killing of its own cells or those of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions."" [GOC:add]",40,389,6,22737,0.015424164524421594,0.15,query_1,['GO:0009987']
GO:BP,GO:0031640,killing of cells of another organism,0.0017648229344564383,True,"""Any process in an organism that results in the killing of cells of another organism, including in some cases the death of the other organism. Killing here refers to the induction of death in one cell by another cell, not cell-autonomous death due to internal or other environmental conditions."" [GOC:add]",40,389,6,22737,0.015424164524421594,0.15,query_1,"['GO:0001906', 'GO:0141061']"
GO:BP,GO:0141060,disruption of anatomical structure in another organism,0.0017648229344564383,True,"""The disruption of an anatomical structure of another organism, leading to damage or temporary subversion of that structure."" [GOC:pg]",40,389,6,22737,0.015424164524421594,0.15,query_1,['GO:0044419']
GO:BP,GO:0009404,toxin metabolic process,0.0019469266662994116,True,"""The chemical reactions and pathways involving a toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."" [GOC:cab2]",59,389,7,22737,0.017994858611825194,0.11864406779661017,query_1,['GO:0019748']
GO:BP,GO:0009699,phenylpropanoid biosynthetic process,0.002372325196171218,True,"""The chemical reactions and pathways resulting in the formation of aromatic derivatives of trans-cinnamic acid."" [GOC:jl]",105,389,9,22737,0.02313624678663239,0.08571428571428572,query_1,"['GO:0009698', 'GO:0044550']"
GO:BP,GO:0001666,response to hypoxia,0.0029312609905551004,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating lowered oxygen tension. Hypoxia, defined as a decline in O2 levels below normoxic levels of 20.8 - 20.95%, results in metabolic adaptation at both the cellular and organismal level."" [GOC:hjd]",248,389,14,22737,0.03598971722365039,0.056451612903225805,query_1,"['GO:0006950', 'GO:0036293']"
GO:BP,GO:0009407,toxin catabolic process,0.0030865666938254374,True,"""The chemical reactions and pathways resulting in the breakdown of toxin, a poisonous compound (typically a protein) that is produced by cells or organisms and that can cause disease when introduced into the body or tissues of an organism."" [GOC:go_curators]",45,389,6,22737,0.015424164524421594,0.13333333333333333,query_1,"['GO:0009056', 'GO:0009404', 'GO:0098754']"
GO:BP,GO:0036293,response to decreased oxygen levels,0.0032770098508438502,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting a decline in the level of oxygen."" [GOC:al]",252,389,14,22737,0.03598971722365039,0.05555555555555555,query_1,['GO:0070482']
GO:BP,GO:0070482,response to oxygen levels,0.003323815763892785,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus reflecting the presence, absence, or concentration of oxygen."" [GOC:BHF, GOC:mah]",253,389,14,22737,0.03598971722365039,0.05533596837944664,query_1,['GO:0009628']
GO:BP,GO:0071369,cellular response to ethylene stimulus,0.004424830717685382,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethylene (ethene) stimulus."" [GOC:mah]",170,389,11,22737,0.028277634961439587,0.06470588235294118,query_1,"['GO:0009723', 'GO:0032870']"
GO:BP,GO:0044550,secondary metabolite biosynthetic process,0.004769044626295076,True,"""The chemical reactions and pathways resulting in the formation of secondary metabolites, the compounds that are not necessarily required for growth and maintenance of cells, and are often unique to a taxon."" [GOC:jl]",144,389,10,22737,0.02570694087403599,0.06944444444444445,query_1,"['GO:0009058', 'GO:0019748']"
GO:BP,GO:0009873,ethylene-activated signaling pathway,0.012536580567494997,True,"""The series of molecular signals generated by the reception of ethylene (ethene, C2H4) by a receptor and ending with modulation of a cellular process, e.g. transcription."" [GOC:jy, PMID:24012247]",163,389,10,22737,0.02570694087403599,0.06134969325153374,query_1,"['GO:0000160', 'GO:0009755', 'GO:0071369']"
GO:BP,GO:0033993,response to lipid,0.014358515815646547,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a lipid stimulus."" [GOC:sl]",921,389,30,22737,0.07712082262210797,0.03257328990228013,query_1,['GO:0042221']
GO:BP,GO:0051716,cellular response to stimulus,0.01473360730025801,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus. The process begins with detection of the stimulus by a cell and ends with a change in state or activity or the cell."" [GOC:bf, GOC:jl]",2546,389,65,22737,0.16709511568123395,0.025530243519245877,query_1,"['GO:0009987', 'GO:0050896']"
GO:BP,GO:0035556,intracellular signal transduction,0.014979166212382919,True,"""The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."" [GOC:bf, GOC:jl, GOC:signaling, ISBN:3527303782]",442,389,18,22737,0.04627249357326478,0.04072398190045249,query_1,['GO:0007165']
GO:BP,GO:0006749,glutathione metabolic process,0.019682128941857994,True,"""The chemical reactions and pathways involving glutathione, the tripeptide glutamylcysteinylglycine, which acts as a coenzyme for some enzymes and as an antioxidant in the protection of sulfhydryl groups in enzymes and other proteins; it has a specific role in the reduction of hydrogen peroxide (H2O2) and oxidized ascorbate, and it participates in the gamma-glutamyl cycle."" [ISBN:0198506732]",44,389,5,22737,0.012853470437017995,0.11363636363636363,query_1,"['GO:0006575', 'GO:0006790']"
GO:BP,GO:0071495,cellular response to endogenous stimulus,0.019929475611096804,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus arising within the organism."" [GOC:mah]",904,389,29,22737,0.07455012853470437,0.032079646017699116,query_1,['GO:0009719']
GO:BP,GO:0032870,cellular response to hormone stimulus,0.019929475611096804,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a hormone stimulus."" [GOC:mah]",903,389,29,22737,0.07455012853470437,0.03211517165005537,query_1,"['GO:0009725', 'GO:0070887', 'GO:0071495']"
GO:BP,GO:0009409,response to cold,0.02235326794728497,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a cold stimulus, a temperature stimulus below the optimal temperature for that organism."" [GOC:lr]",386,389,16,22737,0.04113110539845758,0.04145077720207254,query_1,"['GO:0006950', 'GO:0009266']"
GO:BP,GO:0009867,jasmonic acid mediated signaling pathway,0.024736846406636294,True,"""The series of molecular signals mediated by jasmonic acid."" [GOC:jy, PMID:16478936, PMID:19522558, PMID:20159850]",95,389,7,22737,0.017994858611825194,0.07368421052631578,query_1,"['GO:0009755', 'GO:0071395']"
GO:BP,GO:0010150,leaf senescence,0.024736846406636294,True,"""The last stage of leaf development during which programmed degradation of macromolecules and nutrient recycling take place."" [ISBN:0387987819, PMID:17177638, PMID:34938309]",152,389,9,22737,0.02313624678663239,0.05921052631578947,query_1,"['GO:0048366', 'GO:0090693']"
GO:BP,GO:0009755,hormone-mediated signaling pathway,0.028860095117282887,True,"""The series of molecular signals mediated by the detection of a hormone."" [GOC:sm]",845,389,27,22737,0.06940874035989718,0.03195266272189349,query_1,"['GO:0007165', 'GO:0032870']"
GO:BP,GO:0071395,cellular response to jasmonic acid stimulus,0.029056581279827673,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a jasmonic acid stimulus."" [GOC:mah]",100,389,7,22737,0.017994858611825194,0.07,query_1,"['GO:0009753', 'GO:0032870', 'GO:0071398']"
GO:BP,GO:0071492,cellular response to UV-A,0.029056581279827673,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-A radiation stimulus. UV-A radiation (UV-A light) spans the wavelengths 315 to 400 nm."" [GOC:mah]",4,389,2,22737,0.005141388174807198,0.5,query_1,"['GO:0034644', 'GO:0070141']"
GO:BP,GO:0170062,nutrient storage,0.029056581279827673,True,"""The accumulation and maintenance in cells or tissues of a nutrient, a substance that is used by an organism to survive, to grow, and to reproduce; such as proteins, vitamins, and minerals. Nutrient reserves can be accumulated for mobilization and utilization when needed."" [GOC:ew]",14,389,3,22737,0.007712082262210797,0.21428571428571427,query_1,['GO:0009987']
GO:BP,GO:0070141,response to UV-A,0.029056581279827673,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a UV-A radiation stimulus. UV-A radiation (UV-A light) spans the wavelengths 315 to 400 nm."" [GOC:BHF, GOC:mah]",4,389,2,22737,0.005141388174807198,0.5,query_1,['GO:0009411']
GO:BP,GO:0090693,plant organ senescence,0.029056581279827673,True,"""A plant organ developmental process during which a plant dismantles cellular components to reclaim the cellular building blocks and nutrients that have been deposited in the plant organs during growth."" [GOC:tb, PMID:17177638, PMID:34938309]",159,389,9,22737,0.02313624678663239,0.05660377358490566,query_1,"['GO:0032502', 'GO:0099402']"
GO:BP,GO:0006979,response to oxidative stress,0.029056581279827673,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."" [GOC:jl, PMID:12115731]",402,389,16,22737,0.04113110539845758,0.03980099502487562,query_1,['GO:0006950']
GO:BP,GO:0019915,lipid storage,0.029056581279827673,True,"""The accumulation and maintenance in cells or tissues of lipids, compounds soluble in organic solvents but insoluble or sparingly soluble in aqueous solvents. Lipid reserves can be accumulated during early developmental stages for mobilization and utilization at later stages of development."" [GOC:dph, GOC:mah, GOC:tb, PMID:11102830]",14,389,3,22737,0.007712082262210797,0.21428571428571427,query_1,['GO:0170062']
GO:BP,GO:0009646,response to absence of light,0.029294201843602753,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an absence of light stimuli."" [GOC:go_curators]",51,389,5,22737,0.012853470437017995,0.09803921568627451,query_1,['GO:0009642']
GO:BP,GO:0009266,response to temperature stimulus,0.029920996820336315,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a temperature stimulus."" [GOC:hb]",605,389,21,22737,0.05398457583547558,0.03471074380165289,query_1,['GO:0009628']
GO:BP,GO:0002213,defense response to insect,0.029920996820336315,True,"""A response to protect an organism from a directly detected or perceived external threat from an insect or insects to that organism."" [GOC:add]",31,389,4,22737,0.010282776349614395,0.12903225806451613,query_1,"['GO:0006952', 'GO:0051707']"
GO:BP,GO:0071398,cellular response to fatty acid,0.03301914969727461,True,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a fatty acid stimulus."" [GOC:mah]",104,389,7,22737,0.017994858611825194,0.0673076923076923,query_1,"['GO:0070542', 'GO:0071396', 'GO:1901701']"
GO:BP,GO:2001141,regulation of RNA biosynthetic process,0.034286722395404895,True,"""Any process that modulates the frequency, rate or extent of RNA biosynthetic process."" [GOC:dph]",1695,389,45,22737,0.11568123393316196,0.02654867256637168,query_1,"['GO:0010556', 'GO:0032774', 'GO:0051252']"
GO:BP,GO:0006355,regulation of DNA-templated transcription,0.034286722395404895,True,"""Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."" [GOC:go_curators, GOC:txnOH]",1695,389,45,22737,0.11568123393316196,0.02654867256637168,query_1,"['GO:0006351', 'GO:0010468', 'GO:2001141']"
GO:BP,GO:0009723,response to ethylene,0.03809108603920047,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of an ethylene (ethene) stimulus."" [GOC:jl]",235,389,11,22737,0.028277634961439587,0.04680851063829787,query_1,['GO:0009725']
GO:BP,GO:0009825,multidimensional cell growth,0.04792236397074092,True,"""The process in which a cell irreversibly increases in size in two or three [spatial] dimensions or along two or three axes."" [ISBN:0943088399]",36,389,4,22737,0.010282776349614395,0.1111111111111111,query_1,['GO:0016049']
GO:BP,GO:0006970,response to osmotic stress,0.04910534716514338,True,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating an increase or decrease in the concentration of solutes outside the organism or cell."" [GOC:jl]",512,389,18,22737,0.04627249357326478,0.03515625,query_1,"['GO:0006950', 'GO:0009628']"
GO:BP,GO:0048731,system development,0.05564228671235504,False,"""The process whose specific outcome is the progression of an organismal system over time, from its formation to the mature structure. A system is a regularly interacting or interdependent group of organs or tissues that work together to carry out a given biological process."" [GOC:dph, GOC:jid]",1891,389,48,22737,0.12339331619537275,0.02538339502908514,query_1,"['GO:0007275', 'GO:0048856']"
GO:BP,GO:0009642,response to light intensity,0.056932426177570314,False,"""Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light intensity stimulus."" [GOC:go_curators]",148,389,8,22737,0.02056555269922879,0.05405405405405406,query_1,['GO:0009416']
GO:BP,GO:0046622,positive regulation of organ growth,0.056932426177570314,False,"""Any process that activates or increases the frequency, rate or extent of growth of an organ of an organism."" [GOC:bf, GOC:tb]",6,389,2,22737,0.005141388174807198,0.3333333333333333,query_1,"['GO:0035265', 'GO:0046620', 'GO:0048639', 'GO:0051240']"
GO:BP,GO:0006790,sulfur compound metabolic process,0.056932426177570314,False,"""The chemical reactions and pathways involving the nonmetallic element sulfur or compounds that contain sulfur, such as the amino acids methionine and cysteine or the tripeptide glutathione."" [GOC:ai]",287,389,12,22737,0.030848329048843187,0.041811846689895474,query_1,['GO:0008152']
GO:BP,GO:0071486,cellular response to high light intensity,0.056932426177570314,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a high light intensity stimulus."" [GOC:mah]",6,389,2,22737,0.005141388174807198,0.3333333333333333,query_1,"['GO:0009644', 'GO:0071484']"
GO:BP,GO:0051252,regulation of RNA metabolic process,0.06219829660010596,False,"""Any process that modulates the frequency, rate or extent of the chemical reactions and pathways involving RNA."" [GOC:ai]",1763,389,45,22737,0.11568123393316196,0.025524673851389675,query_1,"['GO:0016070', 'GO:0019219', 'GO:0060255']"
GO:BP,GO:0048367,shoot system development,0.06584881381809325,False,"""The process whose specific outcome is the progression of the shoot system over time, from its formation to the mature structure."" [GOC:go_curators]",878,389,26,22737,0.06683804627249357,0.029612756264236904,query_1,['GO:0048731']
GO:BP,GO:1990961,xenobiotic detoxification by transmembrane export across the plasma membrane,0.06907684648306772,False,"""A process that reduces or removes the toxicity of a xenobiotic by exporting it outside the cell."" [PMID:28355133]",42,389,4,22737,0.010282776349614395,0.09523809523809523,query_1,"['GO:0046618', 'GO:0098754', 'GO:0140115']"
GO:BP,GO:0046618,xenobiotic export from cell,0.06907684648306772,False,"""The directed movement of a xenobiotic from a cell, into the extracellular region. A xenobiotic is a compound foreign to the organism exposed to it. It may be synthesized by another organism (like ampicilin) or it can be a synthetic chemical."" [GOC:go_curators, GOC:krc]",42,389,4,22737,0.010282776349614395,0.09523809523809523,query_1,"['GO:0042908', 'GO:0055085', 'GO:0140352']"
GO:BP,GO:0050898,nitrile metabolic process,0.06907684648306772,False,"""The chemical reactions and pathways involving nitriles, an organic compound containing trivalent nitrogen attached to one carbon atom. The nitriles are named with reference to the acids produced by their decomposition; for example, hydrocyanic acid is formic nitrile, and methyl cyanide is acetic nitrile."" [PMID:18987211]",7,389,2,22737,0.005141388174807198,0.2857142857142857,query_1,['GO:0008152']
GO:BP,GO:0080028,nitrile biosynthetic process,0.06907684648306772,False,"""The chemical reactions and pathways resulting in the formation of a nitrile, an organic compound containing trivalent nitrogen attached to one carbon atom."" [PMID:18987211]",7,389,2,22737,0.005141388174807198,0.2857142857142857,query_1,"['GO:0009058', 'GO:0050898']"
GO:BP,GO:0080037,negative regulation of cytokinin-activated signaling pathway,0.06907684648306772,False,"""Any process that stops, prevents, or reduces the frequency, rate or extent of cytokinin signaling."" [GOC:dhl, PMID:14973166]",7,389,2,22737,0.005141388174807198,0.2857142857142857,query_1,"['GO:0009736', 'GO:0009968', 'GO:0080036']"
GO:BP,GO:0006097,glyoxylate cycle,0.06907684648306772,False,"""A modification of the TCA cycle occurring in some plants and microorganisms, in which isocitrate is cleaved to glyoxylate and succinate. Glyoxylate can then react with acetyl-CoA to form malate."" [ISBN:0198506732]",7,389,2,22737,0.005141388174807198,0.2857142857142857,query_1,"['GO:0005975', 'GO:0046487']"
GO:BP,GO:0043617,cellular response to sucrose starvation,0.06907684648306772,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of deprivation of sucrose."" [GOC:jl]",7,389,2,22737,0.005141388174807198,0.2857142857142857,query_1,['GO:0009267']
GO:BP,GO:0033554,cellular response to stress,0.06907684648306772,False,"""Any process that results in a change in state or activity of a cell (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a stimulus indicating the organism is under stress. The stress is usually, but not necessarily, exogenous (e.g. temperature, humidity, ionizing radiation)."" [GOC:mah]",1022,389,29,22737,0.07455012853470437,0.02837573385518591,query_1,"['GO:0006950', 'GO:0051716']"
GO:BP,GO:0015695,organic cation transport,0.07080856633407437,False,"""The directed movement of organic cations into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Organic cations are atoms or small molecules with a positive charge which contain carbon in covalent linkage."" [GOC:ai]",22,389,3,22737,0.007712082262210797,0.13636363636363635,query_1,['GO:0006810']
GO:BP,GO:0051259,protein complex oligomerization,0.0777196423729071,False,"""The process of creating protein oligomers, compounds composed of a small number, usually between three and ten, of component monomers; protein oligomers may be composed of different or identical monomers. Oligomers may be formed by the polymerization of a number of monomers or the depolymerization of a large protein polymer."" [GOC:ai, PMID:18293929]",44,389,4,22737,0.010282776349614395,0.09090909090909091,query_1,['GO:0065003']
